axis,metric,evaluation_set,n_development_positives,n_benchmark_targets,n_model_repeats_per_permutation,n_converged_fits,n_fit_attempts,n_replacement_fits,fit_convergence_rate,observed_value,permutation_mean,permutation_sd,empirical_p_value,cancer,holm_p_value
translational,top50_recovery,independent_benchmark,7,11,30,15000,15089,89,0.9941016634634502,0.3636363636363636,0.0152727272727272,0.0367902250761941,0.0019960079840319,PDAC,0.0079840319361276
functional,top50_recovery,independent_benchmark,21,30,30,15000,15654,654,0.9582215408202376,0.1333333333333333,0.0148,0.0250080875807096,0.0059880239520958,PDAC,0.0119760479041916
translational,top50_recovery,independent_benchmark,6,7,30,15000,15407,407,0.9735834361004738,0.5714285714285714,0.0154285714285714,0.0503733003460672,0.0019960079840319,LUAD,0.0079840319361276
functional,top50_recovery,independent_benchmark,26,36,30,15000,15102,102,0.9932459276916964,0.0555555555555555,0.0081666666666666,0.0154051258104102,0.0399201596806387,LUAD,0.0399201596806387

