cancer,quantity,count
PDAC,Candidate universe,40591
PDAC,Translational L,7
PDAC,Translational V,11
PDAC,Functional L,21
PDAC,Functional V,30
LUAD,Candidate universe,35478
LUAD,Translational L,6
LUAD,Translational V,7
LUAD,Functional L,26
LUAD,Functional V,36

