gene_symbol,review_class,translational_precedence_rank,functional_discovery_rank,translational_precedence_score,functional_discovery_score,patient_alteration,proteomic_support,external_reproducibility,dependency,druggability,safety_factor,safety_risk,open_targets,limiting_evidence,class_short
KRAS,Class I: translational-precedence candidate,1,1,0.9996291820105874,0.9999999931381052,0.999445298892441,0.1383274897802855,0.3999999999999999,0.9777246678884292,0.7111111111111111,0.4839390274013894,0.5160609725986106,0.8155552354512797,,Class I
ARID1A,Class I: translational-precedence candidate,33,1771,0.9477957791739572,0.409021996630325,0.7133006172155434,1.0,0.0,0.0067426163328705,0.3333333333333333,0.4552050398485197,0.5447949601514803,0.6499081877242247,weak functional-discovery support; limited external reproducibility,Class I
KIF23,Class III: dependency-supported candidate with limited actionability,1882,5,0.3478025658110168,0.9991852706555776,0.9932970005606516,0.9661064465652732,1.0,0.4357725216854455,0.1333333333333333,0.5453908555294606,0.4546091444705393,0.0299172914226695,limited actionability,Class III
PALB2,Class IV: safety-risk candidate,274,134,0.7858321476315219,0.9531984026528302,0.8840498221340596,0.75,1.0,0.0092539755205836,0.3333333333333333,0.2058380745542972,0.7941619254457027,0.7846504503047675,low dependency; safety constraint,Class IV

