axis,strategy,n_heldout_targets,median_rank_percentile,mean_rank_percentile,top20_recovery,top50_recovery,top100_recovery,top200_recovery,cancer
translational,leave_one_positive_out,7,0.9795516136979552,0.9582268679829656,0.0,0.0,0.1428571428571428,0.1428571428571428,PDAC
functional,source_stratified_5fold,21,0.9875831485587584,0.9779197315782684,0.0952380952380952,0.1904761904761904,0.1904761904761904,0.2857142857142857,PDAC
translational,leave_one_positive_out,6,0.9992953180934124,0.9970309402335786,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,LUAD
functional,source_stratified_5fold,26,0.93507060912704,0.8998484391837832,0.0384615384615384,0.0769230769230769,0.0769230769230769,0.1153846153846153,LUAD

